Sample Name	Site	Country	Extract	Library	Library number	Extract used [µl]	USER enzyme treatment	Library parallel number	Primer concentration [nM each]	PCR Cycles	Sequencing pool (= 1 lane)	Sequencing type and length
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_10	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_11	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_12	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_13	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_2	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_3	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_4	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_5	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_6	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_7	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_8	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL2	SL2_7	16.25	yes	SL2_7_9	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_10	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_11	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_12	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_13	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_2	200	11	HiSeq_21_LW	SE. 100 cycles
