Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE487	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_Nature_2015	5,433	5,057	5,245	direct	XY	I2a	I2a1a1a	0.22	0.984	1d_rel_RISE489				
RISE489	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_Nature_2015	4,858	4,528	4,693	direct	XY	I2a	I2a1a1a	0.51	0.991	0	2.2.1.2.1.9	EuropeSW_6000BP_3500BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeW_late
RISE486	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_Nature_2015	4,084	3,723	3,904	direct	XY	I2a	I2a1a1a1a2	0.16	0.984	1d_rel_RISE489				
RISE446	Bergrheinfeld	Germany	WesternEurope	Germany_Neolithic_CWC	50.01	10.18	Allentoft_Nature_2015	4,779	4,415	4,597	direct	XY	R1a	R1a	0.17	0.988	0	1.2.1.2.2.2.1	Europe_4500BP_2000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE563	Osterhofen-Altenmarkt	Germany	WesternEurope	Germany_BronzeAge_Beaker	48.69	13.02	Allentoft_Nature_2015	4,522	4,462	4,492	direct	XY	R1b	R1b1a1b1a1	0.37	0.988	0	1.2.1.2.2.2.2	Europe_4500BP_2000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE559	Augsburg	Germany	WesternEurope	Germany_BronzeAge_Beaker	48.33	10.9	Allentoft_Nature_2015	4,411	4,157	4,284	direct	XX			0.14	0.983	0	2.1.2.2.1.1.1	Europe_4000BP_2000BP	EuropeWCAsia_25000BP_300BP	PostNeol_Levant_MedE
RISE61	Kyndeløse	Denmark	NorthernEurope	Denmark_Neolithic	55.7	11.86	Allentoft_Nature_2015	4,801	4,442	4,622	direct	XY	R1a	R1a1a1b	0.33	0.989	0	1.2.1.4.1.4	Scandivia_4600BP_3800BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE71	Falshøj	Denmark	NorthernEurope	Denmark_Neolithic	56.68	10.03	Allentoft_Nature_2015	4,146	3,973	4,060	direct	XX			0.29	0.987	0	1.2.1.3.1.10	Scandivia_4200BP_3200BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE47	Sebber skole	Denmark	NorthernEurope	Denmark_BronzeAge	56.97	9.55	Allentoft_Nature_2015	3,449	3,274	3,362	direct	XY	R1b	R1b1a1	0.11	0.980	lowGpAvg				
