Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
PER1150B	Les Perrats	Agris	45.77	0.33	Mesolithic	Mesolithic		7177-7057	Nouvelle-Aquitaine (South-West)	Charente	B. Boulestin	PB	1	capture	F-HG						U5b1-16189-@16192		3989	0.055+/-0.01		
PER26	Les Perrats	Agris	45.77	0.33	Mesolithic	Mesolithic		7177-7057	Nouvelle-Aquitaine (South-West)	Charente	B. Boulestin	PB	1	capture	F-HG		30.272	XX			U5b1		6223	0.07+/-0.005		
PER3023	Les Perrats	Agris	45.77	0.33	Mesolithic	Mesolithic		7177-7057	Nouvelle-Aquitaine (South-West)	Charente	B. Boulestin	PB	1	capture + shotgun	F-HG	F-HG	61.518	XX	U5b3e		U5b1-16189-@16192		12136	0+/-0		
PER3123	Les Perrats	Agris	45.77	0.33	Mesolithic	Mesolithic		7177-7057	Nouvelle-Aquitaine (South-West)	Charente	B. Boulestin	PB	1	capture + shotgun	F-HG	F-HG	60.891	XY	U5b1-16189	I	U5b1-16189	I2a1b2	11097	0.115+/-0.005		
PER503	Les Perrats	Agris	45.77	0.33	Mesolithic	Mesolithic		7177-7057	Nouvelle-Aquitaine (South-West)	Charente	B. Boulestin	PB	1	capture + shotgun	F-HG	F-HG	60.604	XX	U5b1-16189		U5b1-16189		13141	0+/-0		
Mor5	ZAC des collines I IKEA, Hungeheuer Hoelzle	Morschwiller-le-Bas	48.82027	7.62599	Early Neolithic	LBK		5200-5000	Grand-Est (East)	Bas-Rhin	Luc Vergnaud	PB	4	capture	NFEN						T2b23		6500	0+/-0		
Mor4	ZAC des collines I IKEA, Hungeheuer Hoelzle	Morschwiller-le-Bas	48.82027	7.62599	Early Neolithic	LBK			Grand-Est (East)	Bas-Rhin	Luc Vergnaud	PB	4	capture	NFEN											
Mor6	ZAC des collines I IKEA, Hungeheuer Hoelzle	Morschwiller-le-Bas	48.82027	7.62599	Early Neolithic	LBK	6120+/-25BP (GrM-15764)	5208-4964	Grand-Est (East)	Bas-Rhin	Luc Vergnaud	PB	4	capture + shotgun	NFEN	F-LBK	56.9	XX	H3q1							
Schw72-15	Lotissement Les Terrasses de la Zorn	Schwindratzheim	48.75563	7.59958	Early Neolithic	LBK			Grand-Est (East)	Bas-Rhin	A. Denaire	PB	3	capture + shotgun	NFEN	F-LBK	54.8	XY	T2f	C1a2	T2f	C1a2			-0.0041	0.002716626
Schw72-16	Lotissement Les Terrasses de la Zorn	Schwindratzheim	48.75563	7.59958	Early Neolithic	LBK	6340 +/-40BP (Poz-64772)	5383-5220	Grand-Est (East)	Bas-Rhin	A. Denaire	PB	3	capture	NFEN			XX			H1		17373	0+/-0		
Schw72-17	Lotissement Les Terrasses de la Zorn	Schwindratzheim	48.75563	7.59958	Early Neolithic	LBK		-	Grand-Est (East)	Bas-Rhin	A. Denaire	PB	3	capture	NFEN			XY			J1c2	G2a	19406	0+/-0		
Schw432	Lotissement Les Terrasses de la Zorn	Schwindratzheim	48.75563	7.59958	Early Neolithic	LBK	6130 +/-40BP (Poz-64773)	5211-4962	Grand-Est (East)	Bas-Rhin	A. Denaire	PB	3	capture + shotgun	NFEN	F-LBK	35.3	XX	X2b							
BRE447	ZAC st Martin	Bréviandes	48.25698	4.09535	Early Neolithic	LBK	6100 +/- 40BP (GrN-31286)	5209-4912	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	NFEN						V		8560	0.105+/-0.02		
