Sample	Population	Approach	Total reads	Trimmed	Mapped	Endogenous%	Non-duplicate	mapped	Clonality %	Coverage	Probability Authentic (95 % CI) 
BOT14	Botai	Shotgun/Illumina 2500/HiSeqX10	2192272501	875017599	338021125	40.2	168384462	31.8	3.7	0.9791	(0.9675-0.9864)
BOT15	Botai	Shotgun/Illumina 2500/HiSeqX10	3258239520	1433625118	212931720	14.6	126664850	29	3	0.998	(0.9863-0.9998)
BOT2016	Botai	Shotgun/Illumina 2500/HiSeqX10	6563324840	2773092327	849998291	30.6	519384291	24	13.6	0.9948	(0.9876-0.9984)
Yamnaya	Yamnaya	Shotgun/Illumina 2500/HiSeqX10	6820561800	3407416890	2675370010	77.3	1123187429	46.1	25.2	0.9886	(0.9827-0.9929)
EBA1	CentralSteppe_EMBA	Shotgun/Illumina 2500/HiSeqX10	3368109128	1434495369	460033579	32.2	257270049	20.6	4.5	0.9566	(0.9439-0.9673)
EBA2	CentralSteppe_EMBA	Shotgun/Illumina 2500/HiSeqX10	2482629018	1191642239	644534121	49.9	394357733	23.5	9.1	0.9937	(0.9873-0.9982)
Sidelkino	SidelkinoEHG_ML	Shotgun/Illumina 2500	374758967	339356731	240884232	71	174337943	4	2.9	0.9954	(0.9885-0.9990)
DA379	Namazga_CA	Shotgun/Illumina 2500	167100464	121785756	3345648	2	3292668	1.6	0.1	0.9855	(0.9288-0.9982)
DA380	Namazga_CA	Shotgun/Illumina 2500	146823356	123045346	29603426	20.2	28144957	4.9	0.5	0.9892	(0.9726-0.9977)
DA381	Namazga_CA	Shotgun/Illumina 2500	301840070	235646784	56568028	18.7	55097492	2.6	0.8	0.9996	(0.9925-0.9999)
DA383	Namazga_CA	Shotgun/Illumina 2500	150392401	128810489	52626463	35	49579801	5.8	0.8	0.9988	(0.9825-0.9997)
DA382	Turkmenistan_IA	Shotgun/Illumina 2500	302180862	277799882	148879656	49.3	145713533	2.1	2.5	0.9996	(0.9940-0.9999)
MA2195	Anatolia_Ottoman	Shotgun/Illumina 2500	139394266	120773729	52093247	37.4	44452475	14.7	0.9	0.9995	(0.9906-0.9999)
MA2196	Anatolia_Ottoman	Shotgun/Illumina 2500	19263518	18517734	12791403	66.4	12328624	3.6	0.3	0.9898	(0.9692-0.9983)
MA2197	Anatolia_IA	Shotgun/Illumina 2500	14202511	11907084	6703251	47.2	6367699	5	0.1	0.9983	(0.9671-0.9997)
MA2198	Anatolia_IA	Shotgun/Illumina 2500	68947699	66868570	38282336	55.5	36731227	4.1	0.8	0.9832	(0.9703-0.9909)
MA2200	Anatolia_MLBA	Shotgun/Illumina 2500	278699922	234951794	135920736	48.8	121592180	10.5	2.2	0.9877	(0.9771-0.9944)
MA2203	Anatolia_MLBA	Shotgun/Illumina 2500	200867597	169526141	52589100	26.2	49614004	5.7	0.9	0.9996	(0.9928-0.9999)
MA2205	Anatolia_MLBA	Shotgun/Illumina 2500	85020838	79162433	44015910	51.8	42080032	4.4	0.8	0.9995	(0.9924-0.9999)
MA2206	Anatolia_MLBA	Shotgun/Illumina 2500	248367711	214763480	40763269	16.4	22308224	45.3	0.4	0.9943	(0.9843-0.9992)
MA2208	Anatolia_MLBA	Shotgun/Illumina 2500	125464977	67512900	27649991	22	6810359	75.4	0.1	0.9449	(0.8869-0.9819)
MA2210	Anatolia_EBA	Shotgun/Illumina 2500	126406011	109308921	50150042	39.7	47737328	4.8	0.9	0.9997	(0.9939-0.9999)
MA2212	Anatolia_EBA	Shotgun/Illumina 2500	239127212	149093443	64936710	27.2	59049012	9.1	0.9	0.9989	(0.9895-0.9998)
MA2213	Anatolia_EBA	Shotgun/Illumina 2500	368438736	277789904	72819648	19.8	68976171	5.3	1.2	0.9944	(0.9820-0.9995)
RISE515	Okunevo_EMBA	Shotgun/Illumina 2500	1783268077	1461556032	199713542	13.7	26762962	86.6	0.6	0.9998	(0.9954-1.0000)
RISE516	Okunevo_EMBA	Shotgun/Illumina 2500	1278867523	1014478964	138968978	13.7	44121941	68.3	0.9	0.9998	(0.9957-1.0000)
RISE662	Okunevo_EMBA	Shotgun/Illumina 2500	225121907	166283480	102779809	61.8	46334917	54.9	0.6	0.9997	(0.9932-0.9999)
