Sample ID,Source,Other ID,Extraction Material,Library Prep,Platform,Read Length,Raw Reads,Aligned to Human,Duplicates,Human (%),Duplicate (%),Coverage (x)
523a,RM,"Palm Site, Alaska",Femur,"Double-stranded, Y adapters",HiSeq4000,100,242347756,60285414,23867484,15.03%,39.59%,0.975
Ala1,RM,Síi Túupentak (ALA-565/H),Tooth,"Double-stranded, Y adapters",HiSeq4000,100,190355260,26745349,5405974,11.21%,20.21%,0.572
B-03,SDMM,1972-64-1,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,41517952,21741827,567571,51.00%,2.61%,0.567
B-04,SDMM,16697,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,30254442,5450771,75639,17.77%,1.39%,0.144
CH-01,JRJ,Burial #1,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,26666327,416452,5981,1.54%,1.44%,0.011
CK-01,UT,G849,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,72692589,272602,7081,0.37%,2.60%,0.007
CK-02,UT,GS1,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,39146634,275068,14660,0.67%,5.33%,0.007
CK-03,UT,3,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,35809372,1397447,1961,3.90%,0.14%,0.037
CK-03,UT,3,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,32616181,369618,132324,0.73%,35.80%,0.006
CK-04,UT,GS4A,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,61885243,117142,1831,0.19%,1.56%,0.003
CK-07,UT,GB25,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,53638624,40600,2362,0.07%,5.82%,0.001
CK-07,UT,GB25,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,46760400,39985,12195,0.06%,30.50%,0.001
CK-08,UT,GG123,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,54278155,169614,10795,0.29%,6.36%,0.004
CK-09,UT,1001,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,63856515,6453575,133394,9.90%,2.07%,0.169
CK-10,UT,GS7,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,58250891,1353154,25427,2.28%,1.88%,0.036
CK-13,UT,RS14,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,57693238,13915264,370485,23.48%,2.66%,0.363
CK-13,UT,RS14,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,663425573,114113254,14619338,15.00%,12.81%,2.665
CR-01,SDMM,16713,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,31501623,17370146,331716,54.09%,1.91%,0.456
CR-01,SDMM,16713,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,56793763,30558776,745729,52.49%,2.44%,0.799
CR-01,SDMM,16713,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,568686068,353499535,41213115,54.91%,11.66%,8.365
CT-01,SDMM,1973-36-1,Tooth root,Double-stranded,"NextSeq 500, Single-end",75,39013533,13558987,214563,34.20%,1.58%,0.357
