run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR2564026	SAMEA4646346	ERX2582370	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/006/ERR2564026/ERR2564026.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564026/MA2205_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564026/MA2205_final.bam.bai		
ERR2564029	SAMEA4646343	ERX2582373	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/009/ERR2564029/ERR2564029.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564029/MA2198_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564029/MA2198_final.bam.bai		
ERR2564033	SAMEA4646339	ERX2582377	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/003/ERR2564033/ERR2564033.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564033/DA383_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564033/DA383_final.bam.bai		
ERR2572845	SAMEA4655408	ERX2589840	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2572845/ERR2572845.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572845/Yamnaya.realigned.calmd.readsadded.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572845/Yamnaya.realigned.calmd.readsadded.bam.bai		
ERR2572847	SAMEA4655367	ERX2589842	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2572847/ERR2572847.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572847/EBA2.realigned.calmd.readsadded.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572847/EBA2.realigned.calmd.readsadded.bam.bai		
ERR2572848	SAMEA4655366	ERX2589843	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2572848/ERR2572848.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572848/EBA1.realigned.calmd.readsadded.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572848/EBA1.realigned.calmd.readsadded.bam.bai		
ERR2572849	SAMEA4655358	ERX2589844	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2572849/ERR2572849.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572849/BOT2016.realigned.calmd.readsadded.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2572849/BOT2016.realigned.calmd.readsadded.bam.bai		
ERR2573055	SAMEA4655362	ERX2590050	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2573055/ERR2573055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573055/DA340.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573055/DA340.sort.rmdup.realign.md.bam.bai		
ERR2573061	SAMEA4655370	ERX2590056	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2573061/ERR2573061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573061/RISE662.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573061/RISE662.sort.rmdup.realign.md.bam.bai		
ERR2573068	SAMEA4655377	ERX2590063	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2573068/ERR2573068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573068/RISE674.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573068/RISE674.sort.rmdup.realign.md.bam.bai		
ERR2573070	SAMEA4655379	ERX2590065	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2573070/ERR2573070.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573070/RISE677.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573070/RISE677.sort.rmdup.realign.md.bam.bai		
ERR2573074	SAMEA4655383	ERX2590069	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2573074/ERR2573074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573074/RISE684.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573074/RISE684.sort.rmdup.realign.md.bam.bai		
ERR2573077	SAMEA4655386	ERX2590072	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2573077/ERR2573077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573077/RISE719.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573077/RISE719.sort.rmdup.realign.md.bam.bai		
ERR2573081	SAMEA4655390	ERX2590076	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2573081/ERR2573081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573081/DA337.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573081/DA337.sort.rmdup.realign.md.bam.bai		
ERR2573092	SAMEA4655401	ERX2590087	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2573092/ERR2573092.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573092/DA253.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573092/DA253.sort.rmdup.realign.md.bam.bai		
ERR2573093	SAMEA4655402	ERX2590088	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2573093/ERR2573093.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573093/DA362.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573093/DA362.sort.rmdup.realign.md.bam.bai		
ERR2573094	SAMEA4655404	ERX2590089	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2573094/ERR2573094.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573094/DA342.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573094/DA342.sort.rmdup.realign.md.bam.bai		
ERR2573095	SAMEA4655405	ERX2590090	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2573095/ERR2573095.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573095/DA344.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573095/DA344.sort.rmdup.realign.md.bam.bai		
ERR2573096	SAMEA4655406	ERX2590091	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2573096/ERR2573096.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573096/DA345.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2573096/DA345.sort.rmdup.realign.md.bam.bai		
ERR2575653	SAMEA4657875	ERX2592648	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575653/ERR2575653.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575653/ERR2575653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575653/ERR2575653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575653/Buryats.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575653/Buryats.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575654	SAMEA4657876	ERX2592649	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575654/ERR2575654.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575654/ERR2575654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575654/ERR2575654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575654/Buryats.2.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575654/Buryats.2.sort.rmdup.realign.md.rh.bam.bai		
ERR2575659	SAMEA4657881	ERX2592654	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575659/Hazaras.3.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575659/Hazaras.3.sort.rmdup.realign.md.rh.bam.bai		
ERR2575660	SAMEA4657882	ERX2592655	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575660/IrtyshBarabinskTatars.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575660/IrtyshBarabinskTatars.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575661	SAMEA4657883	ERX2592656	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575661/IrtyshBarabinskTatars.2.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575661/IrtyshBarabinskTatars.2.sort.rmdup.realign.md.rh.bam.bai		
ERR2575662	SAMEA4657884	ERX2592657	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575662/Kalmyks.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575662/Kalmyks.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575669	SAMEA4657891	ERX2592664	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575669/Kazkahs.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575669/Kazkahs.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575670	SAMEA4657892	ERX2592665	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575670/Kyrgyz.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575670/Kyrgyz.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575675	SAMEA4657897	ERX2592670	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575675/Teleuts.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575675/Teleuts.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575681	SAMEA4657903	ERX2592676	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575681/Uyghurs.1.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575681/Uyghurs.1.sort.rmdup.realign.md.rh.bam.bai		
ERR2575683	SAMEA4657905	ERX2592678	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575683/Uyghurs.3.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575683/Uyghurs.3.sort.rmdup.realign.md.rh.bam.bai		
ERR2575685	SAMEA4657907	ERX2592680	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575685/Uzbeks.2.sort.rmdup.realign.md.rh.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR257/ERR2575685/Uzbeks.2.sort.rmdup.realign.md.rh.bam.bai		
ERR2564020	SAMEA4646336	ERX2582364	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/000/ERR2564020/ERR2564020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564020/DA380_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564020/DA380_final.bam.bai		
ERR2564024	SAMEA4646348	ERX2582368	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/004/ERR2564024/ERR2564024.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564024/MA2208_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564024/MA2208_final.bam.bai		
ERR2564027	SAMEA4646345	ERX2582371	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/007/ERR2564027/ERR2564027.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564027/MA2203_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564027/MA2203_final.bam.bai		
ERR2564030	SAMEA4646342	ERX2582374	PRJEB26349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/000/ERR2564030/ERR2564030.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564030/MA2197_final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR256/ERR2564030/MA2197_final.bam.bai		
