run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR11779045	SAMEA114221503	ERX11177648	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/045/ERR11779045/ERR11779045.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11779045/NEO3.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11779045/NEO3.sort.rmdup.realign.md.bam.bai		
ERR12040071	SAMEA114221550	ERX11423489	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/071/ERR12040071/ERR12040071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040071/NEO102.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040071/NEO102.sort.rmdup.realign.md.bam.bai		
ERR12040072	SAMEA114221551	ERX11423490	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/072/ERR12040072/ERR12040072.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040072/NEO110.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040072/NEO110.sort.rmdup.realign.md.bam.bai		
ERR12040074	SAMEA114221552	ERX11423492	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/074/ERR12040074/ERR12040074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040074/NEO113.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040074/NEO113.sort.rmdup.realign.md.bam.bai		
ERR12040566	SAMEA114221557	ERX11423915	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/066/ERR12040566/ERR12040566.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040566/NEO120.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040566/NEO120.sort.rmdup.realign.md.bam.bai		
ERR12040568	SAMEA114221559	ERX11423917	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/068/ERR12040568/ERR12040568.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040568/NEO122.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040568/NEO122.sort.rmdup.realign.md.bam.bai		
ERR12040571	SAMEA114221562	ERX11423920	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/071/ERR12040571/ERR12040571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040571/NEO130.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040571/NEO130.sort.rmdup.realign.md.bam.bai		
ERR12040576	SAMEA114221567	ERX11423925	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/076/ERR12040576/ERR12040576.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040576/NEO145.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040576/NEO145.sort.rmdup.realign.md.bam.bai		
ERR12040589	SAMEA114221572	ERX11423938	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/089/ERR12040589/ERR12040589.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040589/NEO160.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040589/NEO160.sort.rmdup.realign.md.bam.bai		
ERR12040590	SAMEA114221573	ERX11423939	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/090/ERR12040590/ERR12040590.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040590/NEO162.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12040590/NEO162.sort.rmdup.realign.md.bam.bai		
ERR12041117	SAMEA114221582	ERX11424466	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/017/ERR12041117/ERR12041117.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041117/NEO173.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041117/NEO173.sort.rmdup.realign.md.bam.bai		
ERR12041131	SAMEA114221585	ERX11424480	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/031/ERR12041131/ERR12041131.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041131/NEO178.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041131/NEO178.sort.rmdup.realign.md.bam.bai		
ERR12041377	SAMEA114221591	ERX11424726	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/077/ERR12041377/ERR12041377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041377/NEO184.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041377/NEO184.sort.rmdup.realign.md.bam.bai		
ERR12041386	SAMEA114221593	ERX11424735	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/086/ERR12041386/ERR12041386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041386/NEO186.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12041386/NEO186.sort.rmdup.realign.md.bam.bai		
ERR12043619	SAMEA114221599	ERX11426817	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/019/ERR12043619/ERR12043619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12043619/NEO194.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12043619/NEO194.sort.rmdup.realign.md.bam.bai		
ERR12045068	SAMEA114221611	ERX11428257	PRJEB64656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/068/ERR12045068/ERR12045068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12045068/NEO220.sort.rmdup.realign.md.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12045068/NEO220.sort.rmdup.realign.md.bam.bai		
