run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR2583796	SAMEA4665870	ERX2600807	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2583796/ERR2583796.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583796/In661.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583796/In661.bam.bai		
ERR2583797	SAMEA4665871	ERX2600808	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2583797/ERR2583797.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583797/In662.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583797/In662.bam.bai		
ERR2583811	SAMEA4665885	ERX2600822	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2583811/ERR2583811.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583811/Th703.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583811/Th703.bam.bai		
ERR2583812	SAMEA4665886	ERX2600823	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2583812/ERR2583812.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583812/Vt719.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583812/Vt719.bam.bai		
ERR2583820	SAMEA4665894	ERX2600831	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2583820/ERR2583820.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583820/Vt880.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2583820/Vt880.bam.bai		
ERR2584046	SAMEA4666164	ERX2600888	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2584046/ERR2584046.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584046/CGG2_017661.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584046/CGG2_017661.180514.MT.RG.rmdup.final.bam.bai		
ERR2584047	SAMEA4666165	ERX2600889	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2584047/ERR2584047.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584047/CGG2_017662.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584047/CGG2_017662.180514.MT.RG.rmdup.final.bam.bai		
ERR2584052	SAMEA4666171	ERX2600894	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2584052/ERR2584052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584052/CGG2_018522.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584052/CGG2_018522.180514.MT.RG.rmdup.final.bam.bai		
ERR2584054	SAMEA4666173	ERX2600896	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2584054/ERR2584054.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584054/CGG2_018530.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584054/CGG2_018530.180514.MT.RG.rmdup.final.bam.bai		
ERR2584055	SAMEA4666174	ERX2600897	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2584055/ERR2584055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584055/CGG2_018531.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584055/CGG2_018531.180514.MT.RG.rmdup.final.bam.bai		
ERR2584058	SAMEA4666177	ERX2600900	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2584058/ERR2584058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584058/CGG2_019534.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584058/CGG2_019534.180514.MT.RG.rmdup.final.bam.bai		
ERR2584062	SAMEA4666181	ERX2600904	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2584062/ERR2584062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584062/CGG2_019719.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584062/CGG2_019719.180514.MT.RG.rmdup.final.bam.bai		
ERR2584065	SAMEA4666184	ERX2600907	PRJEB26721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2584065/ERR2584065.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584065/CGG2_019744.180514.MT.RG.rmdup.final.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR258/ERR2584065/CGG2_019744.180514.MT.RG.rmdup.final.bam.bai		
