chrom	start	end	name	simple_name	translated_category	Genoa_score	Genoa_score_1400bp
chr2	235865386	235865436	ZOOHAR.1;2XHAR.3;HAR2	ZOOHAR.1	GBGC(hc)	0.448777583537553	0.569173891574975
chr13	72540830	72541395	ZOOHAR.2;2XHAR.125;2XHAR.5;HAR15	ZOOHAR.2	None	0.291195355549636	0.291217922349508
chr5	77595138	77595554	ZOOHAR.3;HAR88	ZOOHAR.3	GBGC &
positive	0.291211465411744	0.303250413486748
chr6	141112898	141112955	ZOOHAR.4	ZOOHAR.4	None	0.350481835160144	0.383756112643059
chr2	55106823	55107087	ZOOHAR.5	ZOOHAR.5	positive	0.225397090879149	0.216293315977892
chr4	28059052	28059150	ZOOHAR.6	ZOOHAR.6	positive	0.263995602072372	0.269119632968139
chr14	37139043	37139438	ZOOHAR.7;2XHAR.44	ZOOHAR.7	positive	0.343734288954924	0.400752212083829
chr11	114229056	114229464	ZOOHAR.8;2XHAR.230;HAR40	ZOOHAR.8	GBGC(hc)	0.518286949177488	0.526559094658498
chr20	675776	675964	ZOOHAR.9;2XHAR.36	ZOOHAR.9	GBGC(hc)	0.379452786344927	0.633037715751223
chr21	18026444	18026516	ZOOHAR.10;2XHAR.6	ZOOHAR.10	positive	0.306727873874638	0.353121651508936
chr12	23323847	23323911	ZOOHAR.11	ZOOHAR.11	positive	0.263866679335678	0.279124354494308
chr1	36864061	36864180	ZOOHAR.12	ZOOHAR.12	positive	0.309527525080679	0.354788047997518
chr9	16708825	16709033	ZOOHAR.13;2XHAR.101	ZOOHAR.13	positive	0.393152218140431	0.673796251992394
chr11	118929295	118929442	ZOOHAR.14	ZOOHAR.14	positive	0.345017079644615	0.482088551998297
chr16	80046114	80046205	ZOOHAR.15;2XHAR.21	ZOOHAR.15	positive	0.583496405609133	0.71068629815133
chr5	44048380	44048462	ZOOHAR.16	ZOOHAR.16	positive	0.448777583537553	0.526991710803109
chr10	9200112	9200599	ZOOHAR.17;2XHAR.27;HAR142	ZOOHAR.17	positive	0.292330031732792	0.330171338020579
chr9	18717533	18717823	ZOOHAR.18	ZOOHAR.18	positive	0.265039440418674	0.221476791404755
chr7	1227712	1227836	ZOOHAR.19	ZOOHAR.19	positive	0.355553967681889	0.531770826621555
chr5	37981454	37981607	ZOOHAR.20	ZOOHAR.20	positive	0.263866679335678	0.255190105909026
chrX	138711283	138711346	ZOOHAR.21;2XHAR.1	ZOOHAR.21	positive	0.293070116371468	0.332067769035763
chr16	73095603	73095697	ZOOHAR.22;2XHAR.93;HAR4	ZOOHAR.22	positive	0.263866679335678	0.352527619958419
chr4	177351875	177352056	ZOOHAR.23;2XHAR.89	ZOOHAR.23	GBGC(hc)	0.303897527503032	0.510885090881348
chr3	171102069	171102123	ZOOHAR.24;2XHAR.47	ZOOHAR.24	positive	0.228399462438774	0.216215118265724
chr9	122957885	122957947	ZOOHAR.25	ZOOHAR.25	None	0.186877357549623	0.209725011427611
chr16	78958236	78958557	ZOOHAR.26;2XHAR.121	ZOOHAR.26	positive	0.565779557977712	0.658473381118385
chr14	31100104	31100271	ZOOHAR.27	ZOOHAR.27	positive	0.25274126466768	0.294438704727971
chr8	60782028	60782167	ZOOHAR.28	ZOOHAR.28	positive	0.228399462438774	0.400574444141197
chr7	134695357	134695510	ZOOHAR.29;2XHAR.24	ZOOHAR.29	positive	0.267165240197919	0.508421698861858
chr6	2111374	2111601	ZOOHAR.30;2XHAR.130	ZOOHAR.30	GBGC	0.218896873149276	0.265656977292128
chr3	81216880	81217184	ZOOHAR.31	ZOOHAR.31	positive	0.279146408891987	0.447724852368241
chr21	20993453	20993538	ZOOHAR.32;2XHAR.72	ZOOHAR.32	positive	0.263866679335678	0.26388138524592
chr2	143825545	143825633	ZOOHAR.33	ZOOHAR.33	None	0.351404737441528	0.384203420708626
chr10	78663908	78664007	ZOOHAR.34	ZOOHAR.34	positive	0.30742970785586	0.551150891310181
chr9	25934889	25935012	ZOOHAR.35;2XHAR.410	ZOOHAR.35	positive	0.263866679335678	0.26388138524592
chr3	182518771	182518827	ZOOHAR.36;2XHAR.77	ZOOHAR.36	positive	0.285578179715453	0.590773869529939
chr6	20034318	20034408	ZOOHAR.37	ZOOHAR.37	positive	0.494909271124396	0.651396840132306
chr11	127143662	127143739	ZOOHAR.38	ZOOHAR.38	GBGC(hc)	0.395239258387817	0.377382601924189
chr12	87219197	87219282	ZOOHAR.39	ZOOHAR.39	positive	0.297982433716139	0.285376995171675
chr3	174911930	174912009	ZOOHAR.40;2XHAR.112	ZOOHAR.40	positive	0.30186372391422	0.290503780373808
chr14	68115776	68115892	ZOOHAR.41	ZOOHAR.41	positive	0.204972832752233	0.188382454019392
